PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
250	org.springframework.beans.TypeMismatchException	Unchecked	System	false	false
251	java.lang.Throwable	Checked	Java	false	false
252	java.lang.Throwable	Checked	Java	false	false
253	org.springframework.web.server.NotAcceptableStatusException	Unchecked	System	false	false
254	org.springframework.web.server.UnsupportedMediaTypeStatusException	Unchecked	System	false	false
255	org.springframework.http.InvalidMediaTypeException	Unchecked	System	false	false
256	org.springframework.web.server.NotAcceptableStatusException	Unchecked	System	false	false
257	java.io.IOException	Checked	Java	false	false
258	java.io.IOException	Checked	Java	false	false
259	java.io.IOException	Checked	Java	false	false
260	java.io.IOException	Checked	Java	false	false
261	java.lang.IllegalArgumentException	Unchecked	Java	false	true
262	java.io.UnsupportedEncodingException	Checked	Java	false	false
263	java.io.IOException	Checked	Java	false	false
264	java.lang.Exception	Checked	Java	false	false
265	java.io.IOException	Checked	Java	false	false
266	java.lang.Throwable	Checked	Java	false	false
267	java.lang.NoSuchMethodException	Checked	Java	false	false
268	java.lang.Throwable	Checked	Java	false	false
269	java.lang.ClassNotFoundException	Checked	Java	false	false
270	java.lang.LinkageError	Error	Java	false	false
271	org.springframework.http.InvalidMediaTypeException	Unchecked	System	false	false
272	java.lang.Throwable	Checked	Java	false	false
273	java.net.URISyntaxException	Checked	Java	false	false
274	java.io.IOException	Checked	Java	false	false
275	java.lang.IllegalStateException	Unchecked	Java	false	false
276	java.lang.IllegalStateException	Unchecked	Java	false	false
277	java.net.URISyntaxException	Checked	Java	false	false
